Date,AAPL
1990/11/5,0.232451963
1990/11/6,0.241461948
1990/11/7,0.241461973
1990/11/8,0.237858293
1990/11/9,0.252273813
1990/11/12,0.255877545
1990/11/13,0.261283765
1990/11/14,0.257679264
1990/11/15,0.264887445
1990/11/16,0.258540751
1990/11/19,0.256732973
1990/11/20,0.263965189
1990/11/21,0.254924988
1990/11/23,0.262157376
1990/11/26,0.260349447
1990/11/27,0.267580875
1990/11/28,0.273005306
1990/11/29,0.26758088
1990/11/30,0.2621573
1990/12/3,0.26938874
1990/12/4,0.271196576
1990/12/5,0.278428882
1990/12/6,0.298316985
1990/12/7,0.296508379
1990/12/10,0.305548426
1990/12/11,0.298316997
1990/12/12,0.287469004
1990/12/13,0.285661193
1990/12/14,0.291084844
1990/12/17,0.282044611
1990/12/18,0.2965083
1990/12/19,0.307356414
1990/12/20,0.298317106
1990/12/21,0.320012103
1990/12/24,0.32362883
1990/12/26,0.318204387
1990/12/27,0.31278076
1990/12/28,0.312780692
1990/12/31,0.31097284
1991/1/2,0.30916421
1991/1/3,0.314588568
1991/1/4,0.310972886
1991/1/7,0.310972886
1991/1/8,0.316396466
1991/1/9,0.320012125
1991/1/10,0.330860181
1991/1/11,0.339900315
1991/1/14,0.332668023
1991/1/15,0.336284594
1991/1/16,0.33990035
1991/1/17,0.379675667
1991/1/18,0.352556289
1991/1/21,0.359787614
1991/1/22,0.368827663
1991/1/23,0.370635739
1991/1/24,0.372443486
1991/1/25,0.376060105
1991/1/28,0.385099397
1991/1/29,0.392331682
1991/1/30,0.385099311
1991/1/31,0.401371717
1991/2/1,0.401371828
1991/2/4,0.403179577
1991/2/5,0.399563927
1991/2/6,0.417643342
1991/2/7,0.412219787
1991/2/8,0.415835555
1991/2/11,0.433914796
1991/2/12,0.441147178
1991/2/13,0.4339149
1991/2/14,0.433914834
1991/2/15,0.414898752
1991/2/19,0.416710499
1991/2/20,0.43120471
1991/2/21,0.443887081
1991/2/22,0.427581454
1991/2/25,0.436639758
1991/2/26,0.416710492
1991/2/27,0.422145486
1991/2/28,0.422145468
1991/3/1,0.413087186
1991/3/4,0.420333831
1991/3/5,0.42758115
1991/3/6,0.463817229
1991/3/7,0.460192909
1991/3/8,0.490993841
1991/3/11,0.467440263
1991/3/12,0.456569736
1991/3/13,0.454757945
1991/3/14,0.483746212
1991/3/15,0.476499611
1991/3/18,0.476499598
1991/3/19,0.481934229
1991/3/20,0.501864577
1991/3/21,0.494617245
1991/3/22,0.463817081
1991/3/25,0.460192725
1991/3/26,0.469252352
1991/3/27,0.507299726
1991/3/28,0.501864477
1991/4/1,0.492805427
1991/4/2,0.500052123
1991/4/3,0.525417333
1991/4/4,0.507299432
1991/4/5,0.519981845
1991/4/8,0.501864844
1991/4/9,0.505488089
1991/4/10,0.496428684
1991/4/11,0.490993753
1991/4/12,0.518170478
1991/4/15,0.447510527
1991/4/16,0.458381424
1991/4/17,0.471063754
1991/4/18,0.454758012
1991/4/19,0.44207536
1991/4/22,0.431204599
1991/4/23,0.451134583
1991/4/24,0.447510342
1991/4/25,0.433016468
1991/4/26,0.423957236
1991/4/29,0.423957167
1991/4/30,0.418522098
1991/5/1,0.347862157
1991/5/2,0.346050539
1991/5/3,0.355109692
1991/5/6,0.351486421
1991/5/7,0.369603874
1991/5/8,0.367792269
1991/5/9,0.362357108
1991/5/10,0.373227242
1991/5/13,0.378662909
1991/5/14,0.382286384
1991/5/15,0.373227307
1991/5/16,0.369603837
1991/5/17,0.353297968
1991/5/20,0.343303226
1991/5/21,0.328772098
1991/5/22,0.332404759
1991/5/23,0.33785442
1991/5/24,0.33058836
1991/5/28,0.334221005
1991/5/29,0.336037273
1991/5/30,0.341487021
1991/5/31,0.345119603
1991/6/3,0.341487027
