Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-10-01,0.0,0.6357531099100285,0.6092633905849112,0.6269232034683228,203768,0.0,0.0
1980-10-02,0.0,0.7019774706800489,0.6357530271004849,0.6799025535583496,356366,0.0,0.0
1980-10-03,0.0,0.6975626541357284,0.6843178676385636,0.690940260887146,257680,0.0,0.0
1980-10-06,0.0,0.6931476256303524,0.671072781085968,0.671072781085968,137978,0.0,0.0
1980-10-07,0.0,0.675487970411292,0.6512057588160861,0.657828152179718,262249,0.0,0.0
1980-10-08,0.0,0.6821107854236619,0.6578285588183279,0.6776957511901855,85893,0.0,0.0
1980-10-09,0.0,0.6887326422551755,0.6622429193264069,0.6821102499961853,185493,0.0,0.0
1980-10-10,0.0,0.7085997090756048,0.6776948932960078,0.695354700088501,147115,0.0,0.0
1980-10-13,0.0,0.713014681186498,0.6931474343053383,0.7085998058319092,63049,0.0,0.0
1980-10-14,0.0,0.7372971381745554,0.7086000536035161,0.7328822612762451,111479,0.0,0.0
1980-10-15,0.0,0.7306749836392772,0.7108078002929688,0.7108078002929688,62136,0.0,0.0
1980-10-16,0.0,0.7108075725643416,0.6909401647438678,0.7041849493980408,98686,0.0,0.0
1980-10-17,0.0,0.7417123913764954,0.6997703557481153,0.7417123913764954,148943,0.0,0.0
1980-10-20,0.0,0.7704095206328226,0.7439197936721569,0.7659944891929626,174528,0.0,0.0
1980-10-21,0.0,0.7726167689322735,0.7196374766885052,0.7328822612762451,338091,0.0,0.0
1980-10-22,0.0,0.7461270458639849,0.7063925382079566,0.7328822612762451,305196,0.0,0.0
1980-10-23,0.0,0.7505420446395874,0.7284671994112455,0.7505420446395874,148029,0.0,0.0
1980-10-24,0.0,0.7417122683018192,0.7328823594298164,0.7372972369194031,129754,0.0,0.0
1980-10-27,0.0,0.7350901771386396,0.7152228355407715,0.7152228355407715,182752,0.0,0.0
1980-10-28,0.0,0.7328820964846278,0.6887324910183,0.7240521907806396,195545,0.0,0.0
1980-10-29,0.0,0.7372973780880466,0.7108078002929688,0.7108078002929688,55739,0.0,0.0
1980-10-30,0.0,0.7041851673152101,0.6887328624725342,0.6887328624725342,49343,0.0,0.0
1980-10-31,0.0,0.7063924670219421,0.6865250613032376,0.7063924670219421,52998,0.0,0.0
1980-11-03,0.0,0.7019778820647258,0.6799029520063112,0.6887328624725342,58481,0.0,0.0
1980-11-05,0.0,0.7174296124718513,0.695354700088501,0.695354700088501,180924,0.0,0.0
1980-11-06,0.0,0.6887327195553672,0.6732804179191589,0.6732804179191589,103255,0.0,0.0
1980-11-07,0.0,0.6666577019699437,0.6489978932569286,0.6600353121757507,66704,0.0,0.0
