corporate_name
O
ULTA
MTD
NLSN
NTRS
FCX
BWA
LEG
JPM
VTR
DISH
DIS
PG
CF
DISCK
AMGN
AIG
USB
DWDP
CBG
JEC
MYL
DVA
AIZ
NWS
BBT
LEN
CMCSA
NWSA
VRSN
FOX
VNO
AVGO
PCLN
RCL
SIG
JBHT
TWX
IT
VRSK
RL
UA
DVN
VIAB
HRB
MRO
CTAS
PH
EFX
RJF
WU
SYY
SJM
LB
AXP
KMB
HSIC
CBS
UAA
ADS
XLNX
WRK
BHGE
SBUX
FITB
MAS
CAH
SBAC
SCG
BDX
LUV
TMO
CCL
WEC
ANDV
SWKS
EQR
SCHW
SYK
D
COF
RF
CI
QCOM
HIG
DE
APA
GPC
A
MCK
CL
MNST
HD
MCD
DG
COTY
SRE
VRTX
PCAR
ALK
GLW
SPGI
CFG
MAT
COST
AGN
AEE
RMD
F
FISV
MGM
ROK
ALB
SRCL
DRI
NFX
HRS
TDG
ALGN
EXR
UTX
PXD
WMB
ARE
MMC
SYF
AMAT
ICE
M
PSA
CMA
COL
FFIV
LMT
UNM
GRMN
LH
DXC
EMN
RHI
BBY
PFG
AMT
BHF
IP
SYMC
ORCL
APC
ACN
MPC
AVY
GPN
BK
INTC
FLIR
C
APH
AMD
IR
KHC
CHK
LRCX
PCG
ABT
NOC
IPG
MRK
EA
WBA
ITW
JWN
NAVI
ETFC
FAST
GT
WM
DAL
DLTR
AVB
HSY
CRM
ANSS
JNPR
ORLY
MU
BEN
XYL
MKC
APTV
CINF
HBI
LOW
MAA
ZION
MDT
XRAY
HII
NFLX
AES
APD
HUM
SLB
SNI
DHR
AWK
HCP
LYB
EMR
DLR
PNR
HOG
STZ
NEM
WDC
STT
ADP
OMC
RHT
PYPL
LUK
FRT
NBL
MCHP
TGT
PGR
TXN
HST
BLL
WYNN
ES
AAP
NDAQ
NRG
CXO
MLM
STI
PAYX
PNC
GGP
NEE
MET
RTN
DRE
GIS
PRU
FTI
ECL
LNT
NCLH
KIM
ADM
ROST
HBAN
ETN
PEG
BIIB
DHI
ALLE
EXC
WFC
ABBV
HON
UDR
CB
VMC
PLD
FOXA
TROW
EQIX
GOOGL
TSCO
WAT
FE
CNC
UNH
ARNC
CDNS
CELG
PKI
MDLZ
HAS
ESS
HCN
PRGO
CMG
DPS
AYI
CMI
STX
TXT
AFL
KMX
ADBE
PSX
EBAY
DFS
ETR
CTXS
CSX
DISCA
CPB
KO
VZ
CLX
TJX
CERN
K
ANTM
KSS
CAT
ROP
LLL
CVS
PKG
BF.B
IQV
NKE
BSX
MTB
BA
L
REG
SWK
AZO
AJG
XEL
MON
PBCT
PHM
RE
HLT
EXPE
FIS
INCY
BAX
BRK.B
LKQ
AME
HP
REGN
IVZ
CTSH
CA
CHRW
NUE
CME
HPE
HPQ
XRX
V
LNC
PWR
FB
OXY
AMP
GWW
AEP
KORS
IFF
FBHS
MSFT
UHS
MMM
TSS
HCA
EOG
BLK
AMG
AOS
EXPD
TSN
MAR
XL
HOLX
MA
HAL
VAR
KR
INFO
AMZN
DGX
XEC
WMT
CSRA
UAL
ZTS
HES
ALL
VLO
CMS
GD
EVHC
FLS
PM
AAPL
LLY
PX
AON
ATVI
OKE
NSC
EIX
TIF
COP
GE
RRC
ISRG
MHK
PFE
WHR
SEE
TPR
SO
COO
CTL
GOOG
NTAP
EQT
AET
NVDA
COG
PNW
AKAM
MAC
BAC
IRM
CHD
URI
GILD
GPS
EW
KLAC
SHW
CHTR
TMK
MOS
ILMN
DUK
ZBH
HRL
ABC
JCI
TEL
XOM
CSCO
VFC
CCI
ED
PDCO
PPL
TAP
NWL
CVX
UPS
AIV
WYN
WLTW
MS
FTV
TRIP
EL
AAL
IDXX
IBM
TRV
FLR
RSG
GS
BMY
QRVO
CBOE
GM
MSI
JNJ
CAG
FMC
UNP
KEY
SPG
MCO
WY
ADI
T
SNA
DOV
PEP
PPG
SNPS
KMI
PVH
YUM
FDX
ESRX
NOV
NI
INTU
BXP
SLG
DTE
CNP
FL
KSU
ALXN
ADSK
MO
