Date,AAPL
1990-01-02,0.2660844027996063
1990-01-03,0.2678699493408203
1990-01-04,0.2687636315822601
1990-01-05,0.2696564197540283
1990-01-08,0.2714420557022095
1990-01-09,0.2687636315822601
1990-01-10,0.2571558654308319
1990-01-11,0.2464407980442047
1990-01-12,0.2464407980442047
1990-01-15,0.2446552962064743
1990-01-16,0.2491194158792496
1990-01-17,0.2375116646289825
1990-01-18,0.2312619090080261
1990-01-19,0.2446552962064743
1990-01-22,0.2375116646289825
1990-01-23,0.2410830855369568
1990-01-24,0.24286870658397675
1990-01-25,0.243762269616127
1990-01-26,0.2339402437210083
1990-01-29,0.2375116646289825
1990-01-30,0.24286870658397675
1990-01-31,0.24286870658397675
1990-02-01,0.24019017815589905
1990-02-02,0.2446552962064743
1990-02-05,0.2500122785568237
1990-02-06,0.24822652339935306
1990-02-07,0.2375116646289825
1990-02-08,0.23572589457035065
1990-02-09,0.2446552962064743
1990-02-12,0.24286870658397675
1990-02-13,0.2464407980442047
1990-02-14,0.2446552962064743
1990-02-15,0.2446552962064743
1990-02-16,0.2418597191572189
1990-02-20,0.2400682419538498
1990-02-21,0.2436511069536209
1990-02-22,0.2364853173494339
1990-02-23,0.2382768839597702
1990-02-26,0.2436511069536209
1990-02-27,0.2400682419538498
1990-02-28,0.2436511069536209
1990-03-01,0.2454434335231781
1990-03-02,0.2418597191572189
1990-03-05,0.2472347617149353
1990-03-06,0.25260916352272034
1990-03-07,0.2535048723220825
1990-03-08,0.26335853338241577
1990-03-09,0.26425424218177795
1990-03-12,0.26246285438537603
1990-03-13,0.26425424218177795
1990-03-14,0.2651499509811401
1990-03-15,0.26335853338241577
1990-03-16,0.2884402871131897
1990-03-19,0.30366843938827515
1990-03-20,0.29650259017944336
1990-03-21,0.2982941567897797
1990-03-22,0.2920231819152832
1990-03-23,0.3027726411819458
1990-03-26,0.3027726411819458
1990-03-27,0.30098119378089905
1990-03-28,0.2956069111824036
1990-03-29,0.29471123218536377
1990-03-30,0.2884402871131897
1990-04-02,0.2884402871131897
1990-04-03,0.29918983578681946
1990-04-04,0.2956069111824036
1990-04-05,0.2884402871131897
1990-04-06,0.2857532799243927
1990-04-09,0.29471123218536377
1990-04-10,0.2956069111824036
1990-04-11,0.3045641779899597
1990-04-12,0.3099392950534821
1990-04-16,0.31352221965789795
1990-04-17,0.3099392950534821
1990-04-18,0.3099392950534821
1990-04-19,0.2884402871131897
1990-04-20,0.2884402871131897
1990-04-23,0.28485745191574097
1990-04-24,0.2776908874511719
1990-04-25,0.2776908874511719
1990-04-26,0.27858662605285645
1990-04-27,0.28037819266319275
1990-04-30,0.2821703851222992
1990-05-01,0.283961683511734
1990-05-02,0.28485745191574097
1990-05-03,0.2866489291191101
1990-05-04,0.2866489291191101
1990-05-07,0.2973983585834503
1990-05-08,0.29918983578681946
1990-05-09,0.30008554458618164
1990-05-10,0.29650259017944336
1990-05-11,0.3054597079753876
1990-05-14,0.29918983578681946
1990-05-15,0.29918983578681946
1990-05-16,0.2982941567897797
1990-05-17,0.2973983585834503
1990-05-18,0.28485745191574097
1990-05-21,0.2838514745235443
1990-05-22,0.2973252534866333
1990-05-23,0.3018163740634918
1990-05-24,0.3018163740634918
1990-05-25,0.2874442636966705
1990-05-29,0.29462984204292303
1990-05-30,0.2973252534866333
1990-05-31,0.2964270710945129
1990-06-01,0.29283347725868225
1990-06-04,0.29283347725868225
1990-06-05,0.2838514745235443
1990-06-06,0.2838514745235443
1990-06-07,0.2802577912807465
1990-06-08,0.2748684883117676
1990-06-11,0.2802577912807465
1990-06-12,0.29103711247444153
1990-06-13,0.28564780950546265
1990-06-14,0.28564780950546265
1990-06-15,0.2838514745235443
1990-06-18,0.2820541858673096
1990-06-19,0.2847495973110199
1990-06-20,0.2874442636966705
1990-06-21,0.30091825127601624
1990-06-22,0.2982235252857208
1990-06-25,0.2964270710945129
1990-06-26,0.2919352352619171
1990-06-27,0.2982235252857208
1990-06-28,0.30900275707244873
1990-06-29,0.3215785622596741
1990-07-02,0.3161884844303131
1990-07-03,0.3161884844303131
1990-07-05,0.3125956356525421
1990-07-06,0.3215785622596741
1990-07-09,0.33505240082740784
1990-07-10,0.3377470076084137
1990-07-11,0.3377470076084137
1990-07-12,0.34044164419174194
1990-07-13,0.3359505236148834
1990-07-16,0.3278659880161285
1990-07-17,0.3179847598075867
1990-07-18,0.3206803202629089
1990-07-19,0.3000198602676392
1990-07-20,0.29462984204292303
1990-07-23,0.2982235252857208
1990-07-24,0.3027145266532898
1990-07-25,0.3036127388477325
1990-07-26,0.2973252534866333
1990-07-27,0.2973252534866333
1990-07-30,0.3045109212398529
1990-07-31,0.3018163740634918
1990-08-01,0.3045109212398529
1990-08-02,0.3125956356525421
1990-08-03,0.2964270710945129
1990-08-06,0.2838514745235443
1990-08-07,0.2838514745235443
1990-08-08,0.2883424460887909
1990-08-09,0.2838514745235443
1990-08-10,0.2784613966941833
1990-08-13,0.2865461409091949
1990-08-14,0.28564780950546265
1990-08-15,0.2820541858673096
1990-08-16,0.27666500210762024
1990-08-17,0.2622928917407989
1990-08-20,0.2648874521255493
1990-08-21,0.26128387451171875
1990-08-22,0.25317469239234924
1990-08-23,0.2486701309680939
1990-08-24,0.2558774948120117
1990-08-27,0.27209562063217163
1990-08-28,0.2747983932495117
1990-08-29,0.26849129796028137
1990-08-30,0.26128387451171875
1990-08-31,0.266689270734787
1990-09-04,0.266689270734787
1990-09-05,0.25948193669319153
1990-09-06,0.2576794028282165
1990-09-07,0.2621847987174988
