,Long,Short
1994-01-03,0.007565383921655189,0.006930454903684125
1994-01-04,0.02049358252538458,0.008727756093953076
1994-01-05,0.017380688008273148,0.01886921062532553
1994-01-06,0.016078876707249945,0.011352430248039868
1994-01-07,0.014911101849503672,-0.007936735350779489
1994-01-10,0.013467926064395652,0.005973690915475771
1994-01-11,0.012876165519294814,0.00834761482909172
1994-01-12,-0.012516880315595346,0.008872426329467942
1994-01-13,0.015396747136289158,0.010371776179039638
1994-01-14,0.0062667618060746055,0.005967773212956251
1994-01-17,0.021020936085202946,0.00925661278543397
1994-01-18,-0.0014072054021530111,0.016980722710098494
1994-01-19,0.012101776725463332,0.014301531735892225
1994-01-20,-0.0055276754379514955,0.026787226283517686
1994-01-21,0.01854488082458996,0.0064378470213568685
1994-01-24,-0.00015403714275704638,0.010953433783969036
1994-01-25,0.012089273054584782,0.0047473226674725755
1994-01-26,0.025090328575367436,0.005132875293311101
1994-01-27,0.015902030409314684,0.005615847291856791
1994-01-28,0.015965526402264694,0.008992936134340278
1994-01-31,0.0005928958586189692,0.028251522211608492
1994-02-01,0.023126143155104407,0.0005844993445072166
1994-02-02,0.01408544457862686,-0.01466283664629443
1994-02-03,0.006117546141916075,0.016045347669047628
1994-02-04,0.015467996709699505,-0.004140595254116819
1994-02-07,0.011062486776273906,0.0071230475707459665
1994-02-08,0.009037994698219231,0.0005562706460285449
1994-02-09,0.011099052431403545,0.010514334368130407
1994-02-10,0.01399253417479519,0.03101725448359486
1994-02-11,0.0196744830412956,-0.000172989520303779
1994-02-14,0.008991515407824979,0.02223262080758559
1994-02-15,0.02193449468087496,-0.02675264616822982
1994-02-16,0.012663880104349845,0.016999640534888096
1994-02-17,0.012945700778630609,0.03312646116546216
1994-02-18,0.000595236709267244,-0.0308556734705142
1994-02-22,0.010645134317245897,0.005050156927844884
1994-02-23,0.004041523665615732,0.010770697454804357
1994-02-24,0.004340911183059615,0.02601737098875321
1994-02-25,0.011368359158724983,0.010399436566459497
1994-02-28,0.012680735851659686,0.024357625209186728
1994-03-01,0.022586601310664856,-0.01703322804695536
1994-03-02,0.007979560556567978,0.019892505272167238
1994-03-03,0.01309307373092219,0.002919472957277325
1994-03-04,0.02867040809191197,0.010303175095630612
1994-03-07,0.0006037543172384252,0.02129409928453211
1994-03-08,0.013266058660172397,0.007675797421394848
1994-03-09,0.01144833770660767,-0.006874192082097641
1994-03-10,0.007472530132900857,-1.570598378708432e-05
1994-03-11,0.015092749664587023,-0.014844114484629444
1994-03-14,-0.02059047056874347,0.025985156725300117
1994-03-15,0.015115773576720027,-0.01094393397454696
1994-03-16,0.009623716250752978,0.013438268035646872
1994-03-17,0.03459276978279359,-0.02030874883190035
1994-03-18,0.00509666379385898,0.011067596968643633
1994-03-21,0.011960397349947461,0.008944588112051255
1994-03-22,0.027767213546634573,0.02186856791124141
1994-03-23,0.004921411013051491,0.03494558121771847
1994-03-24,0.03278616494147467,0.013906811820337728
1994-03-25,0.008321505951786268,0.002141517771750601
1994-03-28,0.0067587177557510095,0.013850054559355406
1994-03-29,0.002871293009498066,0.023128656384609047
1994-03-30,0.0110248632100309,0.02258001177444935
1994-03-31,0.010250668842749078,0.016394733710407904
1994-04-04,0.031936523661356894,-0.0031887225055308053
1994-04-05,0.02026987678927037,0.021765001565648444
1994-04-06,0.020884840313631647,-0.009023838699892728
1994-04-07,0.006898496962464607,0.03589366900779463
1994-04-08,0.006121117946052723,-0.0027133022907693594
1994-04-11,0.008456986735928596,0.02413316318173072
1994-04-12,-0.0003839464408947113,0.010549381262279722
1994-04-13,0.008600039318191189,0.00019075225699980436
1994-04-14,-0.014941995000779274,0.0008042199396574801
1994-04-15,0.014872904525401742,0.010437249550156225
1994-04-18,0.007105035486175371,0.04087397612615433
1994-04-19,-0.0018671969352440532,0.055161576684313596
1994-04-20,0.03139223691369171,0.0005369851641167988
1994-04-21,-0.012583350137551231,0.016706097190022896
1994-04-22,0.012770734959802521,-0.00966070265422092
1994-04-25,-0.0009444907616959819,0.016938570581933
1994-04-26,0.007398317934435783,0.029842292671027715
1994-04-28,0.026577566562645615,0.00298250713958792
1994-04-29,0.022819861287429643,0.0116359979962404
1994-05-02,0.009607646007981386,-0.0009983055155689314
1994-05-03,0.02627650830509163,0.009981107825832036
1994-05-04,0.002245252782463225,0.008987888560219282
1994-05-05,0.021989452556271872,-0.00805747275673927
1994-05-06,-0.008224197076497297,0.02778555427444508
1994-05-09,0.009862165942092471,0.01640669033752389
1994-05-10,0.006869227429961666,0.01636622167156332
1994-05-11,0.006104277947683279,-0.0013986429001166644
1994-05-12,0.008609430597883294,0.008171711523841408
1994-05-13,-0.008704002297240254,0.01372789036480222
1994-05-16,0.030756940247186716,0.01631986048266676
1994-05-17,0.020861453756842376,0.00915413836072213
1994-05-18,0.017761029209042233,0.012031171710765986
1994-05-19,0.03958087799545397,0.029550453374677522
1994-05-20,0.032462226466476785,0.02279242789692938
1994-05-23,0.006940405961429796,0.011764015697667973
1994-05-24,-0.0012117298121305797,0.02472955694450807
1994-05-25,0.013498689961646982,0.00852401076077618
1994-05-26,0.03497332011873853,0.011745016281956422
1994-05-27,0.014023829757282035,0.026263189682809097
1994-05-31,0.018941113758677686,-0.008275613775555801
1994-06-01,0.024525266526860955,0.011587365649864189
1994-06-02,0.016846092843549633,0.0019348119173902
1994-06-03,0.013303291955416763,0.04563918172094028
1994-06-06,0.011835795594829557,0.01375857222481478
1994-06-07,0.008879979569901076,0.022097913173955475
1994-06-08,0.016531524875884697,-0.003425360922303766
