,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
50,AAPL,20191018,236.41,234.59,237.58,234.29,235.28,0.48,24377165,5749447242.25,235.85
51,AAPL,20191017,235.28,235.09,236.15,233.52,234.37,0.39,17272899,4057137972.46,234.88
52,AAPL,20191016,234.37,233.37,235.24,233.2,235.32,-0.4,19286696,4516178521.37,234.16
53,AAPL,20191015,235.32,236.39,237.65,234.88,235.87,-0.23,23040485,5440430142.93,236.12
54,AAPL,20191014,235.87,234.9,238.13,234.67,236.21,-0.14,24413485,5779594729.23,236.74
55,AAPL,20191011,236.21,232.95,237.64,232.31,230.09,2.66,41990211,9873948148.3,235.15
56,AAPL,20191010,230.09,227.93,230.44,227.3,227.03,1.35,28962985,6650440357.15,229.62
57,AAPL,20191009,227.03,227.03,227.79,225.64,224.4,1.17,19029426,4315809307.05,226.8
58,AAPL,20191008,224.4,225.82,228.06,224.33,227.06,-1.17,29282700,6618994450.62,226.04
59,AAPL,20191007,227.06,226.27,229.93,225.84,227.01,0.02,30889270,7047072188.84,228.14
60,AAPL,20191004,227.01,225.64,227.49,223.89,220.82,2.8,34755555,7850956995.39,225.89
61,AAPL,20191003,220.82,218.43,220.96,215.13,218.96,0.85,30352688,6638154112.48,218.7
62,AAPL,20191002,218.96,223.06,223.58,217.93,224.59,-2.51,35767258,7861743456.72,219.8
63,AAPL,20191001,224.59,225.07,228.22,224.2,223.97,0.28,36187165,8179338223.51,226.03
64,AAPL,20190930,223.97,220.9,224.58,220.79,218.82,2.35,26318583,5873450002.98,223.17
65,AAPL,20190927,218.82,220.54,220.96,217.28,219.89,-0.49,25361286,5555384879.66,219.05
66,AAPL,20190926,219.89,220.0,220.94,218.83,221.03,-0.52,19088313,4197025641.39,219.87
67,AAPL,20190925,221.03,218.55,221.5,217.14,217.68,1.54,22481008,4944373983.08,219.94
68,AAPL,20190924,217.68,221.03,222.49,217.19,218.72,-0.48,31434368,6893905823.88,219.31
69,AAPL,20190923,218.72,218.95,219.84,217.65,217.73,0.45,19419649,4250042810.9,218.85
70,AAPL,20190920,217.73,221.38,222.56,217.47,220.96,-1.46,57977094,12717994484.87,219.36
71,AAPL,20190919,220.96,222.01,223.76,220.37,222.77,-0.81,22187875,4924410259.31,221.94
72,AAPL,20190918,222.77,221.06,222.85,219.44,220.7,0.94,25643094,5681861116.55,221.57
73,AAPL,20190917,220.7,219.96,220.82,219.12,219.9,0.36,18386469,4045960889.92,220.05
74,AAPL,20190916,219.9,217.73,220.13,217.56,218.75,0.53,21158141,4641184431.1,219.36
75,AAPL,20190913,218.75,220.0,220.79,217.02,223.09,-1.94,39763297,8702483844.19,218.86
76,AAPL,20190912,223.09,224.8,226.42,222.86,223.59,-0.23,32226668,7241490210.27,224.7
77,AAPL,20190911,223.59,218.07,223.71,217.73,216.7,3.18,44289645,9807490573.77,221.44
78,AAPL,20190910,216.7,213.86,216.78,211.71,214.17,1.18,31777930,6810331673.87,214.31
79,AAPL,20190909,214.17,214.84,216.44,211.07,213.26,0.43,27309403,5870516658.97,214.96
80,AAPL,20190906,213.26,214.05,214.42,212.51,213.28,-0.01,19362293,4130726417.64,213.34
81,AAPL,20190905,213.28,212.0,213.97,211.51,209.19,1.96,23946985,5097702458.38,212.87
82,AAPL,20190904,209.19,208.39,209.48,207.32,205.7,1.7,19216821,4008342529.97,208.59
83,AAPL,20190903,205.7,206.43,206.98,204.22,208.74,-1.46,20059575,4120106317.76,205.39
84,AAPL,20190830,208.74,210.16,210.45,207.2,209.01,-0.13,21162563,4410472824.78,208.41
85,AAPL,20190829,209.01,208.5,209.32,206.66,205.53,1.69,21007653,4380322743.23,208.51
86,AAPL,20190828,205.53,204.1,205.72,203.32,204.16,0.67,15957633,3269889907.95,204.91
87,AAPL,20190827,204.16,207.86,208.55,203.53,206.49,-1.13,25897344,5314785012.13,205.23
88,AAPL,20190826,206.49,205.86,207.19,205.06,202.64,1.9,26066129,5373959977.87,206.17
89,AAPL,20190823,202.64,209.43,212.05,201.0,212.46,-4.62,46882844,9622511511.34,205.25
90,AAPL,20190822,212.46,213.19,214.44,210.75,212.64,-0.08,22267821,4735495077.58,212.66
91,AAPL,20190821,212.64,212.99,213.65,211.6,210.36,1.08,21564747,4590634549.82,212.88
92,AAPL,20190820,210.36,210.88,213.35,210.32,210.35,0.0,26919528,5698662450.34,211.69
93,AAPL,20190819,210.35,210.62,212.73,210.03,206.5,1.86,24431915,5167276726.76,211.5
94,AAPL,20190816,206.5,204.28,207.16,203.84,201.74,2.36,28813625,5932074199.57,205.88
95,AAPL,20190815,201.74,203.46,205.14,199.67,202.75,-0.5,27883364,5634115597.01,202.06
96,AAPL,20190814,202.75,203.16,206.44,202.59,208.97,-2.98,36547442,7454106993.47,203.96
97,AAPL,20190813,208.97,201.02,212.14,200.83,200.48,4.23,47539786,9919456833.64,208.66
98,AAPL,20190812,200.48,199.62,202.05,199.15,200.99,-0.25,22481891,4515051658.66,200.83
99,AAPL,20190809,200.99,201.3,202.76,199.29,203.43,-1.2,24619747,4953897106.45,201.22
100,AAPL,20190808,203.43,200.2,203.53,199.39,199.04,2.21,27009524,5453136735.22,201.9
101,AAPL,20190807,199.04,195.41,199.56,193.82,197.0,1.04,33364399,6577341177.11,197.14
102,AAPL,20190806,197.0,196.31,198.07,194.04,193.34,1.89,35824786,7032226367.87,196.29
103,AAPL,20190805,193.34,197.99,198.65,192.58,204.02,-5.23,52392969,10199297884.78,194.67
104,AAPL,20190802,204.02,205.53,206.43,201.63,208.43,-2.12,40862122,8330062702.87,203.86
105,AAPL,20190801,208.43,213.9,218.03,206.74,213.04,-2.16,54017922,11461215327.98,212.17
